ID	new_Prepositions_filtered	Imperfective lemma	Perfective lemma	group	Transit/Obj	arg_0	arg_1	arg_2	Examples: !Argument	comments: ?Complement *Collocation/Idiom	Distractors	Verb features
818		круглить	округлить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
29	от!	круглиться	округлиться	BECOM	—	HEAD:Preposition + Base:от + Gov_Case:Genitive						
820		крупнеть	покрупнеть		—							
821	в!	крутить	закрутить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:в + Gov_Case:Locative	HEAD:Noun + Case:Instrumental					
822	в!	крутить	прокрутить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:в + Gov_Case:Locative						
823	в!	крутить	скрутить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:в + Gov_Case:Locative						
824	в? вокруг? на?	крутиться	закрутиться		—							
825		кручиниться	закручиниться		—							
826		крыть	покрыть		HEAD:Noun + Case:Accusative + Dependency_Type:obj		HEAD:Noun + Case:Instrumental					
827		крючить	скрючить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
828		крючиться	скрючиться		—							
829		кукарекать	прокукарекать		—							
830		куковать	прокуковать		—							
831		кукожиться	скукожиться		—							
832		кукситься	накукситься		—							
833		кукситься	скукситься		—							
834		кулемать	скулемать									
835		кумиться	покумиться		—							
836		купать	выкупать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
837		купать	искупать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
838	в?	купаться	выкупаться		—	HEAD:Preposition + Base:в + Gov_Case:Locative						
839	в?	купаться	искупаться		—	HEAD:Preposition + Base:в + Gov_Case:Locative						
